model,task,metric,term,estimate,cluster_seed_bootstrap_q025,cluster_seed_bootstrap_q975,standardized_estimate,standardized_bootstrap_q025,standardized_bootstrap_q975,n_subset_seeds,outer_fold_adjustment,interpretation
logistic_regression,coarse,macro_f1,intercept,0.954215337470569,0.9496098885432667,0.9585662899083266,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,log2_patient_budget,0.01352610984919019,0.011580311683465763,0.015625347662612168,0.6334862644883333,0.5423561150812726,0.7318026566753274,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,log2_cells_per_patient,0.00783298951827365,0.006748385882303683,0.00902782225139274,0.6354076882971503,0.5474252535648427,0.7323318451700541,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,macro_f1,interaction,-0.0035484266227663306,-0.004224852212540448,-0.002912211534101879,-0.49856452841134724,-0.59360434211565,-0.4091744100943752,20,fixed effects,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,intercept,0.96111365692823,0.9588034324383253,0.9636530237069415,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,log2_patient_budget,0.011615063195279496,0.010043470290518502,0.013033798130958861,1.0075589268265719,0.8712297107123811,1.130628343256903,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,log2_cells_per_patient,0.006655329650930712,0.005837788477015788,0.007381632557203621,0.9999518246922221,0.8771176704887671,1.1090775862246047,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,patient_balanced_macro_f1,interaction,-0.002977552856385794,-0.003413893817901079,-0.0024902467494575167,-0.7748713657714902,-0.8884237133196697,-0.6480559684177589,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,intercept,0.9449080826836478,0.9406943355080606,0.948865748803547,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,log2_patient_budget,0.015117003272619212,0.012730052056066626,0.017612730202990312,0.9580400562166947,0.8067670270023317,1.1162067461058858,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,log2_cells_per_patient,0.009180760470205043,0.007924800565621257,0.01046225394587689,1.0077602972508706,0.8698951900098947,1.1484281918288095,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,coarse,mean_patient_macro_f1,interaction,-0.00396675454208563,-0.004697695005697756,-0.0032321376671041574,-0.7541791867004924,-0.8931492385463607,-0.6145101571621318,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,macro_f1,intercept,0.43235129539639655,0.4269956643356577,0.43774021762099213,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,log2_patient_budget,0.04557330884469641,0.04349954027306965,0.04764678539140264,0.9195641183243903,0.8777202580360077,0.9614020862243251,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,log2_cells_per_patient,0.027447505851073792,0.02639681486129793,0.028388065461589774,0.959256981500091,0.9225366079692368,0.9921283971325304,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,macro_f1,interaction,-0.009192508092264655,-0.00970032144475734,-0.008640727246868662,-0.5564507480371529,-0.587190249925173,-0.5230497587650802,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,intercept,0.4443416732586345,0.44063496306959926,0.44773091404546866,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,log2_patient_budget,0.04149110037367449,0.03964293990997301,0.043525918032196485,0.9570478329557242,0.914417535113293,1.0039836291387563,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,log2_cells_per_patient,0.02531318572233129,0.024306532667434638,0.026237407806904037,1.01131424443514,0.9710963680766137,1.0482388326478906,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,patient_balanced_macro_f1,interaction,-0.008123202922330935,-0.008571664467877785,-0.007695011981530016,-0.5621176842836233,-0.5931507838975764,-0.5324872906598762,20,not applicable after pooled patient summary,descriptive response surface; not causal
