model,task,metric,design,fixed_axis,fixed_value,low_patient_budget,low_cells_per_patient,high_patient_budget,high_cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.001729784637360543,0.005009710510847952,-0.005042585379319367,0.012503227444234467,0.7,0.0009081946464804868,0.00257092521138641
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.0014603446929089936,0.004826027732785761,-0.006548178227655535,0.011051545063596544,0.65,0.0005951479835252155,0.0024086455645602385
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.0018675615737461016,0.006801039390083994,-0.006923491063499545,0.017923821662978907,0.65,0.001185394956791469,0.002902668646801404
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.0009020669155180572,0.0025265630821368606,-0.0025064871801084966,0.0062922812746475185,0.65,0.00032191738369490854,0.0014147853531615486
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.0011095641673967537,0.0029433842506749715,-0.0029267495697405583,0.007803108836708435,0.8,0.0004914626704700387,0.0016287062308460683
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.0007620639197750412,0.004414076490044883,-0.0037429619012994825,0.010238403484002862,0.6,-0.00025432275117355795,0.0014809054390437417
logistic_regression,coarse,macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0026318515528786003,0.004912462847371519,-0.004147845492766941,0.013480835229197763,0.75,0.001754108913712127,0.0035296974459846616
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0025699088603057473,0.004406609678841405,-0.004216472045979636,0.011563048309119594,0.75,0.0017140979473483364,0.0035712843614334796
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.002629625493521143,0.006952326889091147,-0.00579876821288933,0.017626359498345533,0.65,0.0016416384966977254,0.003667954156848291
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.0008576248047475477,0.001478140659268936,-0.0017878832744129573,0.003374789754019888,0.75,0.0003576451059980196,0.0013705895609699922
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.0009997442604335993,0.0015261829586929042,-0.0014663782575962013,0.0036349280475184063,0.7,0.0005540950840826952,0.0015091865200420297
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.0004890162435329914,0.0022520838975277017,-0.0024984847424773388,0.005590600918799402,0.55,-6.923287274747392e-05,0.0014183019278932974
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.0007167453195548124,0.0016983004508839981,-0.0025446387162752354,0.003449814691836858,0.75,0.00011811759311958214,0.001392133004432702
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.0007843262354888692,0.0019213175946976321,-0.0029677017669503094,0.004083835077363447,0.75,0.00012285667880364005,0.0015127006922687777
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.00010607134631346882,0.001804753074906422,-0.002625514254041841,0.0029332693171263266,0.6,-0.0007655274907807818,0.000806302976179312
logistic_regression,coarse,macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.00157437012430236,0.0023867645683757787,-0.00259718001511611,0.005771958323476625,0.8,0.0005437100138984214,0.0026183401144346426
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0017840704959224685,0.0025154520865690016,-0.0029311153276310705,0.0060444857615379625,0.8,0.0008125305200648525,0.0028819665944367543
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0005950875898464603,0.002699413722504444,-0.0034017026871745516,0.006056394851587374,0.5,-0.00044745971632930147,0.0017796623113316829
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,12800,8,1600,16,800,20,0.0006623561591562854,0.0022174401403280823,-0.0031458782511171205,0.004952348897560057,0.65,0.0002499647966052648,0.0011024031803742503
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,12800,8,1600,16,800,20,0.0007379465849744471,0.002284430332190284,-0.0036438772336027155,0.004986236922803971,0.7,0.0003996809248822092,0.0011035948303983714
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,12800,8,1600,16,800,20,0.0008238151707323337,0.0023756069219627272,-0.0033012427034935536,0.004337983163346285,0.7,0.00034547463000925984,0.0017900033232533911
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,12800,16,800,32,400,20,0.0003532276515092525,0.001086827199649987,-0.001101130802856548,0.002413217838740039,0.55,-0.00014740125555201268,0.0008460759655305457
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,12800,16,800,32,400,20,0.00037619565518281497,0.0012709383751468468,-0.001036203493525714,0.0033299032671644598,0.5,-5.120326045702505e-05,0.0008193905306303871
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,12800,16,800,32,400,20,-0.00020205323743600068,0.0012270405458575317,-0.002288710882501571,0.0017865957071538504,0.5,-0.0010867623541777672,0.00047013183948952807
logistic_regression,coarse,macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.001015583810665538,0.0019333467983084721,-0.0017175164011901639,0.005088307536739602,0.75,0.0004071185400045252,0.0016496013845712421
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.001114142240157262,0.0018285613004310206,-0.0012376181231759404,0.004896313355393621,0.7,0.0005501342249866148,0.0016987530879300214
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.0006217619332963331,0.0025774909786280466,-0.004287397821202246,0.004955424747259292,0.65,-8.082475922214226e-05,0.0017157492864962151
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,100,8,100,16,100,20,0.025235395991171417,0.011464062736868626,0.004565898197129723,0.04094300104451146,1.0,0.02235722159088877,0.027864820533656066
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,100,8,100,16,100,20,0.025465180751648848,0.01148332658495654,0.005233886450852357,0.041907018490231915,1.0,0.021727940789652744,0.028973560992291682
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,100,8,100,16,100,20,0.0334217702802099,0.01640544027374622,0.005186316981303582,0.05998266142488194,1.0,0.024139468854737126,0.029161221183734643
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,100,16,100,32,100,20,0.00590449432766973,0.004310009882694038,0.0012011426407157022,0.01556262631617247,1.0,0.00476911352132334,0.007048751212646035
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,100,16,100,32,100,20,0.0060036647500789405,0.004220993251957415,0.0015878461278621108,0.01559863444254523,1.0,0.004745989859510402,0.00718385475756709
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,100,16,100,32,100,20,0.007861619653427743,0.0064547896729505935,-8.858148731838432e-06,0.01964740104926124,0.95,0.005738704667996827,0.009159071751588609
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,200,8,200,16,200,20,0.008333794899077557,0.005978173454563689,0.001197599790678619,0.021636562425681564,1.0,0.006742443086249009,0.009898879995196558
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,200,8,200,16,200,20,0.008309942709099804,0.005483134957747167,0.0012655987760227332,0.019049531222052794,1.0,0.006559868965289689,0.010139115207633864
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,200,8,200,16,200,20,0.010146551417916311,0.00806763602854938,0.001749968203641239,0.026548173942009735,1.0,0.007686157881569883,0.011047410544855918
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,200,16,200,32,200,20,0.0028112575073280742,0.0021253155890579582,0.00014715773918733415,0.007417375878800238,0.95,0.0016993042759750388,0.0040539868125474025
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,200,16,200,32,200,20,0.002954905275411662,0.0025042894158984544,0.00023814125498868857,0.008420756081725662,0.95,0.0017746928588410066,0.004351315912131967
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,200,16,200,32,200,20,0.0034473302824914675,0.004086970034772072,-0.00010484562693592603,0.012734215728865596,0.9,0.0020391145468510842,0.0051124403620489475
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,400,8,400,16,400,20,0.003824296825133805,0.0038546663699800367,-3.969124636040149e-05,0.012764339157314055,0.95,0.0027326649394252165,0.004982200542863715
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,400,8,400,16,400,20,0.003630923732831787,0.0032815387218399785,-4.907814338747093e-05,0.011213282783757703,0.95,0.0024923905835094627,0.00497436153950652
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,400,8,400,16,400,20,0.005208820509924101,0.00568981681759346,0.0005881046919369304,0.0193544452006948,1.0,0.004000174559717962,0.007004863848522979
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,400,16,400,32,400,20,0.0009394398703050754,0.0014639551974239943,-0.001442050579727358,0.0034768637574779486,0.75,0.0001510047250206148,0.0018079194829652618
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,400,16,400,32,400,20,0.0008084733295528612,0.0014465085581006937,-0.00111702855072211,0.0037050663895247405,0.75,6.65808266703816e-06,0.0017717543383078541
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,400,16,400,32,400,20,0.0009169882959138675,0.0018109683038974463,-0.001618107140508429,0.0037461319234098067,0.65,0.00016804446666635886,0.001699749585693016
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,800,8,800,16,800,20,0.0014438370235433707,0.001832149019652423,-0.0017472868471439277,0.005057791849269717,0.85,0.0005060415862594841,0.002432546962138451
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,800,8,800,16,800,20,0.0014320219348036456,0.0018132333049132815,-0.0013989316559525956,0.005057075715006964,0.75,0.0005876275790455049,0.0025244147022531823
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,800,8,800,16,800,20,0.0016080577768828597,0.002490779499274147,-0.0025453281164251745,0.005950290334549061,0.75,0.0008969270069706964,0.0027065136580785958
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,800,16,800,32,800,20,0.0030279620545983323,0.001062346966860387,0.0010784489992773454,0.004966160554606165,1.0,0.0023961382174201183,0.0036712512928542937
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,800,16,800,32,800,20,0.002769464757853529,0.0012069021231229827,0.0009243218616156873,0.005491680433366554,1.0,0.002220503847276209,0.003371264124938488
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,800,16,800,32,800,20,0.0032300943863376452,0.0015068574814120605,0.000509001578009119,0.005814827702867988,1.0,0.002675621107077958,0.003774345984000099
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,1600,8,1600,16,1600,20,0.0031146078641852426,0.0017637896170943142,0.0008788918543700841,0.007155414335830137,1.0,0.0024743731940700424,0.003829858636397065
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,1600,8,1600,16,1600,20,0.002952580996994497,0.0018437624792610227,0.000816198555676631,0.007562116471392511,1.0,0.002376546760173981,0.003688212911454197
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,1600,8,1600,16,1600,20,0.0035970263395563975,0.001901392330200982,0.0006665209449243897,0.006878290917155177,1.0,0.0031103421235423754,0.0046136029611223844
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,1600,16,1600,32,1600,20,0.0022997321577190254,0.0004972132029803077,0.0013752138015626137,0.003173822873675211,1.0,0.0017907532848868313,0.0028747140648157587
logistic_regression,coarse,patient_balanced_macro_f1,matched_patient_doubling,cells_per_patient,1600,16,1600,32,1600,20,0.002272416586801246,0.0004501994847765711,0.0014978842729543363,0.003193810238879957,1.0,0.0017912585252632784,0.002811254405603883
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,1600,16,1600,32,1600,20,0.002396682941817452,0.0011065834836552111,0.0002551760981648832,0.004422352202023244,1.0,0.0018621367121915422,0.002924092432004124
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,8,8,100,8,200,20,0.021904028504245533,0.011077487765618394,0.004800743958424006,0.03781401714912007,1.0,0.019652998379619206,0.023745653696843585
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,8,8,100,8,200,20,0.02204933862523123,0.011662136272876376,0.00468024900287535,0.041813588437967016,1.0,0.019195366602125043,0.024579296483435275
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,100,8,200,20,0.030374774595946293,0.01573310678948022,0.005471993547733039,0.05395572978851727,1.0,0.02199817236783326,0.026449103213279285
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,8,8,200,8,400,20,0.006604010261717014,0.004785834177055117,0.0008602208399152517,0.016148114689906196,1.0,0.005329672473393865,0.008053052792553014
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,8,8,200,8,400,20,0.006849598016190811,0.004915193447135558,0.0011167984496359973,0.01602121297244707,1.0,0.005360690091722062,0.008570493453267448
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,200,8,400,20,0.00827898984417021,0.0064418798051199076,-2.4828760117262495e-05,0.02213063403095523,0.95,0.005852569204440125,0.008811152785438144
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,8,8,400,8,800,20,0.0029666720203862574,0.003280509278411704,6.780750626383117e-05,0.01075254136307318,0.95,0.002228262120501484,0.0037627095284869403
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,8,8,400,8,800,20,0.0026311794723981874,0.002844793951526003,1.4454569512187309e-05,0.00913151449514685,0.95,0.0017863990494253524,0.0036085175697707084
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,400,8,800,20,0.004719804266391109,0.004779555401714501,0.0007633283581820721,0.016700304582031998,1.0,0.0036127175726355597,0.006065669135604334
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,8,8,800,8,1600,20,0.0007814808643870852,0.0015150148905246359,-0.0018916661998132633,0.0028022622868157116,0.7,8.959843206584606e-05,0.0015618027387820277
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,8,8,800,8,1600,20,0.0006940753498291985,0.0015312068382727535,-0.0018200155919574634,0.0030993815073105933,0.65,-2.6742596962434084e-05,0.0016044631663843286
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,800,8,1600,20,0.0007842426061505259,0.0015718215132104224,-0.001715009819562832,0.0031582742179764698,0.7,0.00022092336037131676,0.001420583387907437
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,16,16,100,16,200,20,0.005002427412151672,0.004035505329554196,0.001561986477027319,0.014676798033580697,1.0,0.004153742558533849,0.005913533297213239
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,16,16,100,16,200,20,0.004894100582682187,0.003913943782009541,0.0012914010783553226,0.014145037620114487,1.0,0.003937986034342219,0.005955501173733243
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,16,16,100,16,200,20,0.0070995557336527015,0.00492599825255941,0.002950149510336381,0.018144655699020018,1.0,0.005483766175721272,0.008329387461873141
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,16,16,200,16,400,20,0.002094512187773262,0.0025476818933208565,-0.0013551812197617002,0.007460883983443761,0.85,0.001363112403692443,0.0028556034178073703
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,16,16,200,16,400,20,0.002170579039922793,0.002932240303590623,-0.001180771446781806,0.008624651194461595,0.85,0.0013911070933085579,0.003011335193034
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,16,16,200,16,400,20,0.0033412589361779986,0.003864684424296243,-0.001099385904087999,0.012471521638228414,0.9,0.002167580389293766,0.0048121522526992
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,16,16,400,16,800,20,0.000586212218795823,0.0013834378028264964,-0.001683538432183554,0.0030542297325075038,0.75,5.226307158870958e-05,0.001261280739542847
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,16,16,400,16,800,20,0.00043227767437004625,0.0013430873440661575,-0.0015543232599704749,0.0029115209152317857,0.7,-0.0001279041668777625,0.0011684193240988291
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,16,16,400,16,800,20,0.0011190415333498683,0.0017505576637695767,-0.001868029496042592,0.0034800798219855205,0.75,0.00043663333982710273,0.0019127397883814826
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,16,16,800,16,1600,20,0.002452251705028957,0.0010658984972519118,0.0006886606202168965,0.004484459835485597,1.0,0.0019079942005234079,0.003015524060912991
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,16,16,800,16,1600,20,0.00221463441202005,0.00117450836040337,0.0002939184030770453,0.004845978720082953,1.0,0.001729102754651199,0.002748688965246859
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,16,16,800,16,1600,20,0.0027732111688240635,0.0011547280146907912,0.001074324258521875,0.004787730143094476,1.0,0.00237917742432833,0.0033196290575336295
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,32,32,100,32,200,20,0.001909190591810017,0.0014308877305227174,-0.0009912243168420987,0.004606982938755481,0.9,0.0009613032727821685,0.0030053143556034194
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,32,32,100,32,200,20,0.0018453411080149086,0.0014900615158751312,-0.0007810998666508806,0.004118170827948441,0.85,0.0008303302574958676,0.0031237379446388213
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,32,32,100,32,200,20,0.0026852663627164263,0.001542004187290268,-0.00010899620991137722,0.005086521681967049,0.95,0.0016905277753516967,0.004122755045487802
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,32,32,200,32,400,20,0.0002226945507502631,0.0009956676105475214,-0.0009579317288839429,0.0025248987896015285,0.45,-0.00013625390750043875,0.0006377491364639137
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,32,32,200,32,400,20,2.414709406399207e-05,0.0010943834456215277,-0.0011921026243707695,0.002616615375519724,0.4,-0.00033696355075176485,0.0004608153786136435
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,32,32,200,32,400,20,0.0008109169496003987,0.0011448280939116767,-0.0011728335467904943,0.0025710503111931182,0.8,0.0003529358325940507,0.0013939054318279991
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,32,32,400,32,800,20,0.0026747344030890797,0.0006734862063069054,0.0016454677286727808,0.0035599037598971284,1.0,0.0022541150011058998,0.0031459700307609915
logistic_regression,coarse,patient_balanced_macro_f1,matched_cell_doubling,patient_budget,32,32,400,32,800,20,0.0023932691026707143,0.0006957834177485401,0.0011561299554047528,0.003380145532346301,1.0,0.002057596327354946,0.0027898609450339364
