model,task,metric,total_training_cells,patient_budget,cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975
logistic_regression,coarse,macro_f1,3200,8,400,20,0.9775161146745299,0.0042974116023619235,0.9674916909567567,0.9813202307314992,1.0,0.9742391935044008,0.9804618759543506
logistic_regression,coarse,patient_balanced_macro_f1,3200,8,400,20,0.9794833454551662,0.003918562117716581,0.9700724999828151,0.9829809600332472,1.0,0.9756975611148317,0.9827005981093849
logistic_regression,coarse,mean_patient_macro_f1,3200,8,400,20,0.9694070672276454,0.006107147862104297,0.9543588419392983,0.9748172396153459,1.0,0.9626262199944795,0.9736025203320412
logistic_regression,coarse,macro_f1,3200,16,200,20,0.9792458993118904,0.002135905575319042,0.974588249034732,0.9813354773656106,1.0,0.9763189871026725,0.9817842602910356
logistic_regression,coarse,patient_balanced_macro_f1,3200,16,200,20,0.9809436901480751,0.002616449940077157,0.9750062280533609,0.9836086952100865,1.0,0.9777395675224811,0.9835772736065338
logistic_regression,coarse,mean_patient_macro_f1,3200,16,200,20,0.9712746288013913,0.004081195573365516,0.9617806341617798,0.9750624534309053,1.0,0.9643511829939161,0.9753783766151356
logistic_regression,coarse,macro_f1,3200,32,100,20,0.9801479662274086,0.001986071282603542,0.9765016841584916,0.9832217335149583,1.0,0.9770783623625071,0.9827870190261084
logistic_regression,coarse,patient_balanced_macro_f1,3200,32,100,20,0.982053254315472,0.002104946489087638,0.9782430295654312,0.985193690801499,1.0,0.9789171076460174,0.9847783056917678
logistic_regression,coarse,mean_patient_macro_f1,3200,32,100,20,0.9720366927211662,0.0023711005596251263,0.9685014485732092,0.9760610242071003,1.0,0.9654262714839714,0.9761531033102688
logistic_regression,coarse,macro_f1,6400,8,800,20,0.9804827866949161,0.0016485525550462663,0.9772169462600935,0.9830560864950516,1.0,0.9776800312682454,0.9830206947480095
logistic_regression,coarse,patient_balanced_macro_f1,6400,8,800,20,0.9821145249275643,0.0017256419499524643,0.9787895423074977,0.9844836100270249,1.0,0.9791555012038158,0.9845523423090956
logistic_regression,coarse,mean_patient_macro_f1,6400,8,800,20,0.9741268714940361,0.0020617267942624347,0.9700396683140011,0.9771577026562319,1.0,0.9678790253438091,0.9778560417727843
logistic_regression,coarse,macro_f1,6400,16,400,20,0.9813404114996638,0.0012865361864249237,0.9792921947136035,0.9835665642221779,1.0,0.9785588402787325,0.9838817937533029
logistic_regression,coarse,patient_balanced_macro_f1,6400,16,400,20,0.9831142691879979,0.0013934939993162333,0.9807501929916722,0.9856076255897632,1.0,0.9802406990635273,0.985520335125593
logistic_regression,coarse,mean_patient_macro_f1,6400,16,400,20,0.9746158877375694,0.0017291212859386546,0.9722047124681378,0.9780233215831973,1.0,0.9684109281774667,0.978684169260707
logistic_regression,coarse,macro_f1,6400,32,200,20,0.9820571568192185,0.0012301644497369206,0.9796207491967224,0.9839491341056312,1.0,0.9796073442176927,0.9845483861579161
logistic_regression,coarse,patient_balanced_macro_f1,6400,32,200,20,0.9838985954234867,0.0013569880591464837,0.9810473119731768,0.9858039073014222,1.0,0.9812843538503694,0.9860762313887395
logistic_regression,coarse,mean_patient_macro_f1,6400,32,200,20,0.9747219590838826,0.001422592938196316,0.9727307385935838,0.976984106163182,1.0,0.9682287380673368,0.9787394093137269
logistic_regression,coarse,macro_f1,12800,8,1600,20,0.9812642675593031,0.0014982278676578856,0.9780910721540688,0.9833380230698292,1.0,0.9784670887393773,0.9837076878070762
logistic_regression,coarse,patient_balanced_macro_f1,12800,8,1600,20,0.9828086002773935,0.0016007273263904628,0.9791190799098461,0.9847755176475583,1.0,0.9801107848170243,0.9851254642283108
logistic_regression,coarse,mean_patient_macro_f1,12800,8,1600,20,0.9749111141001867,0.0019022302788870371,0.9714313255689155,0.9781978057708791,1.0,0.96843434225031,0.9787001232950391
logistic_regression,coarse,macro_f1,12800,16,800,20,0.9819266237184596,0.0010968354398324736,0.9796407566363212,0.9833699270183733,1.0,0.9794136860421006,0.9843383716558313
logistic_regression,coarse,patient_balanced_macro_f1,12800,16,800,20,0.983546546862368,0.00121486164768133,0.9805677479439572,0.9849953987769203,1.0,0.9809150934329377,0.9856562829565682
logistic_regression,coarse,mean_patient_macro_f1,12800,16,800,20,0.9757349292709192,0.0011293405811587914,0.973557684601203,0.9772827092685178,1.0,0.9695778285277115,0.97957919242372
logistic_regression,coarse,macro_f1,12800,32,400,20,0.9822798513699688,0.0008559098323785341,0.9807757287903551,0.983539198329204,1.0,0.9797768221515293,0.984664150599392
logistic_regression,coarse,patient_balanced_macro_f1,12800,32,400,20,0.9839227425175509,0.0007257025280994515,0.9827097640797801,0.9851390331952159,1.0,0.9815405170800126,0.9859395308558555
logistic_regression,coarse,mean_patient_macro_f1,12800,32,400,20,0.9755328760334834,0.0012701216768006218,0.9734168636976102,0.9775529018019233,1.0,0.9692748763341643,0.9795010040360093
logistic_regression,fine,macro_f1,3200,8,400,20,0.5075579862634014,0.009746416071986331,0.48893909269056857,0.5231720269293227,1.0,0.5027374623666724,0.5142188772489239
logistic_regression,fine,patient_balanced_macro_f1,3200,8,400,20,0.5102557657471796,0.00977808613858814,0.4927444963270795,0.5264494656705194,1.0,0.5060520061772719,0.5160549325188725
logistic_regression,fine,mean_patient_macro_f1,3200,8,400,20,0.4525991965109264,0.005149336509248795,0.4433985112872786,0.45985586562811104,1.0,0.45160855084077134,0.46340935210002554
logistic_regression,fine,macro_f1,3200,16,200,20,0.5145419152971227,0.005403087729023464,0.5032405795812117,0.5238140206737154,1.0,0.509259683238914,0.5209000033066048
logistic_regression,fine,patient_balanced_macro_f1,3200,16,200,20,0.5174452819087532,0.005845947642977242,0.5066259849666018,0.5273904239194299,1.0,0.512927454425151,0.5229140047422652
logistic_regression,fine,mean_patient_macro_f1,3200,16,200,20,0.45807252611483645,0.0034159198598983174,0.45138703861159835,0.46266240206996495,1.0,0.4567255679542311,0.4684234157780667
logistic_regression,fine,macro_f1,3200,32,100,20,0.5195414460613382,0.004909021870052957,0.5115629291622888,0.5262755085287648,1.0,0.5133931449857968,0.5253170419857114
logistic_regression,fine,patient_balanced_macro_f1,3200,32,100,20,0.5224059383746832,0.0059082525967523265,0.5124836823570307,0.5312201000132893,1.0,0.5169917410831376,0.5273480293142397
logistic_regression,fine,mean_patient_macro_f1,3200,32,100,20,0.46236606814970205,0.003184382552146967,0.45645552420946245,0.4667563422233527,1.0,0.4597762069744885,0.47155168052021035
logistic_regression,fine,macro_f1,6400,8,800,20,0.5244788473092844,0.006990236445260422,0.5113811181587152,0.534639065491938,1.0,0.5186731371697951,0.5305777928510425
logistic_regression,fine,patient_balanced_macro_f1,6400,8,800,20,0.5270638168537294,0.0070057256940207506,0.5145940026756515,0.5377993696953014,1.0,0.5220397475595957,0.5324828032186404
logistic_regression,fine,mean_patient_macro_f1,6400,8,800,20,0.4662999924486254,0.00327185483420132,0.46070714473845703,0.4712749554479504,1.0,0.46273647980000343,0.47527267030400105
logistic_regression,fine,macro_f1,6400,16,400,20,0.5298268831043897,0.00513114992321648,0.521022012333146,0.5394105992255172,1.0,0.5235761400228884,0.535339257906613
logistic_regression,fine,patient_balanced_macro_f1,6400,16,400,20,0.5325188217307845,0.0049162904000783735,0.5248519305341106,0.5415585000933296,1.0,0.5267170821590808,0.5374151905555782
logistic_regression,fine,mean_patient_macro_f1,6400,16,400,20,0.4702121495436361,0.0020838204699285497,0.46697213895865325,0.4734015573246632,1.0,0.46613181903540707,0.4782968320996263
logistic_regression,fine,macro_f1,6400,32,200,20,0.5358214951005168,0.003831389906036501,0.5288425998154167,0.5408472573094462,1.0,0.5294553981588456,0.54164475879491
logistic_regression,fine,patient_balanced_macro_f1,6400,32,200,20,0.5388409586078418,0.00447322002874705,0.529924910515353,0.5440628463066269,1.0,0.53293796223178,0.5434954759458811
logistic_regression,fine,mean_patient_macro_f1,6400,32,200,20,0.4739796727713581,0.001918230861274822,0.47056622788763375,0.4769571050882817,1.0,0.4691235632474385,0.481720647505132
logistic_regression,fine,macro_f1,12800,8,1600,20,0.530616602715947,0.005299383326877991,0.5214015304460282,0.5409791124069023,1.0,0.524130183653668,0.5363734408437322
logistic_regression,fine,patient_balanced_macro_f1,12800,8,1600,20,0.5331730333350502,0.0056077660203228295,0.5245390506271205,0.543880076443471,1.0,0.5271954381511333,0.5385840126859156
logistic_regression,fine,mean_patient_macro_f1,12800,8,1600,20,0.4690750309094659,0.002672199934828147,0.46441823087834183,0.472926054346611,1.0,0.46354107105761866,0.4766942732321661
logistic_regression,fine,macro_f1,12800,16,800,20,0.5337853949266909,0.004527344993293869,0.5247174338940772,0.5390338586103552,1.0,0.5274593297451848,0.5400509935011018
logistic_regression,fine,patient_balanced_macro_f1,12800,16,800,20,0.5362547061389475,0.0044783891805055855,0.5264331785085858,0.5419984240019488,1.0,0.5304659028764839,0.5412941558701753
logistic_regression,fine,mean_patient_macro_f1,12800,16,800,20,0.4715749630123428,0.0021122371445466185,0.46741273248632453,0.47481328314069554,1.0,0.46594211353929776,0.47912034060632613
logistic_regression,fine,macro_f1,12800,32,400,20,0.5375435657963086,0.0037945150419349794,0.5307271731965121,0.543963456586571,1.0,0.5305693740553131,0.5429027597127469
logistic_regression,fine,patient_balanced_macro_f1,12800,32,400,20,0.5406282810353102,0.003778018653000489,0.5334554910698371,0.547354302731146,1.0,0.5340911274003186,0.5454025820068379
logistic_regression,fine,mean_patient_macro_f1,12800,32,400,20,0.4737306185701299,0.001617320007928122,0.4707627931838985,0.47681263326614776,1.0,0.46740077325769624,0.4803232973571835
xgboost,coarse,macro_f1,3200,8,400,20,0.9626190292793779,0.005069600774867818,0.9524373270231956,0.9690097885292223,1.0,0.9590098075317782,0.9660756792143597
xgboost,coarse,patient_balanced_macro_f1,3200,8,400,20,0.9637050367850538,0.00522932714435694,0.9549165418972569,0.9712434094361495,1.0,0.9596076052723809,0.967767429000961
xgboost,coarse,mean_patient_macro_f1,3200,8,400,20,0.953122182797759,0.006018005800627683,0.9408758108960372,0.9602321017290327,1.0,0.9490229278507927,0.9597359200450625
xgboost,coarse,macro_f1,3200,16,200,20,0.9663272552173019,0.004367328425072979,0.9577800352765237,0.9722189072198784,1.0,0.9625330413509599,0.9698749458376761
xgboost,coarse,patient_balanced_macro_f1,3200,16,200,20,0.9668151101825169,0.004982628859260267,0.9586049426844856,0.9746689147333357,1.0,0.962170967111642,0.9713541677136498
xgboost,coarse,mean_patient_macro_f1,3200,16,200,20,0.9568975142019989,0.004820615566356318,0.9476739356151046,0.9634657473000064,1.0,0.9519810440258126,0.962529346502499
